0,4223 2nd St. NE,1200ft2,3BR / 1.5Ba,2018-03-02T12:53:57-0600,/ 3br - 1200ft2 - ,45.044975,Nice 3 bedroom double bungalow,-93.266621,10,$1350,https://minneapolis.craigslist.org/ank/apa/d/nice-3-bedroom-double-bungalow/6515999874.html,post id: 6515999874
0,Tamarac Ave at Vernon Ave,1720ft2,3BR / 3Ba,2018-02-09T10:40:38-0600,/ 3br - 1720ft2 - ,44.893711,Updated single-family home in West Edina,-93.390663,15,$2390,https://minneapolis.craigslist.org/hnp/apa/d/updated-single-family-home-in/6490293931.html,post id: 6490293931
0,7201 Walker St,1124ft2,2BR / 2Ba,2018-03-02T12:53:11-0600,/ 2br - 1124ft2 - ,44.938513,"1-, 2-, and 3-Bedroom Homes w/ Fireplaces & Granite Countertops!",-93.371086,22,$1535,https://minneapolis.craigslist.org/hnp/apa/d/1-2-and-3-bedroom-homes/6515998743.html,post id: 6515998743
0,2920 Dean Parkway,available may 1,1BR / 1Ba,2018-03-02T12:52:23-0600,/ 1br - ,44.949700,One Bedroom Smoke Free Building,-93.337300,22,$1035,https://minneapolis.craigslist.org/hnp/apa/d/one-bedroom-smoke-free/6515997597.html,post id: 6515997597
0,12501 Portland Ave S,1047ft2,2BR / 2Ba,2018-02-07T09:23:48-0600,/ 2br - 1047ft2 - ,44.754689,"Accepts Credit Card Payments, On-site Maintenance, Clubhouse",-93.268131,5,$1256,https://minneapolis.craigslist.org/dak/apa/d/accepts-credit-card-payments/6487726878.html,post id: 6487726878
0,1522 Grand Avenue,694ft2,2BR / 1Ba,2018-03-02T12:51:38-0600,/ 2br - 694ft2 - ,44.939924,"Spacious, Sun-Lit 2 Bedroom Two Blocks from Macalester College",-93.164676,5,$1250,https://minneapolis.craigslist.org/ram/apa/d/spacious-sun-lit-2-bedroom/6515996508.html,N/A
0,1861 Randolph Ave.,available mar 1,1BR / 1Ba,2018-03-02T12:51:25-0600,/ 1br - ,44.934700,ZENner Apartment Living  - Randolph Ave - Highland Area,-93.165100,22,$925,https://minneapolis.craigslist.org/ram/apa/d/zenner-apartment-living/6515996191.html,post id: 6515996191
0,10670 BRUNSWICK RD,1152ft2,2BR / 2Ba,2018-02-19T17:09:45-0600,/ 2br - 1152ft2 - ,44.809849,APPLY ON YOUR TOUR TODAY AND WE WILL DOUBLE YOUR SAVINGS OF $500!!,-93.361150,5,$1313,https://minneapolis.craigslist.org/hnp/apa/d/apply-on-your-tour-today-and/6502816849.html,post id: 6502816849
0,N/A,N/A,available mar 2,2018-03-02T12:00:01-0600,N/A,44.976200,Large 2 Bedroom 1 Bath- 15 minutes from downtown,-93.275900,22,$500,https://minneapolis.craigslist.org/hnp/apa/d/large-2-bedroom-1-bath-15/6515917955.html,post id: 6515917955
0,2837 Emerson Ave S,694ft2,1BR / 1Ba,2018-03-02T12:42:55-0600,/ 1br - 694ft2 - ,44.950615,DOWNTOWN VIEWS! - Ask about  MOVE-IN SPECIALS!,-93.294429,10,$1746,https://minneapolis.craigslist.org/hnp/apa/d/downtown-views-ask-about-move/6515983679.html,post id: 6515983679
