index,zipcodes,listings over fmr,listings in zip,total units,wealth,pct of all listings,pct of all listings over fmr,affordability difference,above median
58,55420,9,224,9548.0,17545.2018192677,0.01309099409736427,0.0010804321728691477,0.012010561924495122,False
59,55421,144,168,12360.0,16184.838727575363,0.009818245573023202,0.017286914765906363,-0.0074686691928831615,False
60,55422,1,126,12766.0,24454.59550682962,0.007363684179767401,0.00012004801920768308,0.007243636160559718,True
61,55423,4,200,15797.0,18622.3428409894,0.011688387586932383,0.0004801920768307323,0.01120819551010165,False
62,55424,1,9,3612.0,64902.43768714508,0.0005259774414119572,0.00012004801920768308,0.0004059294222042741,True
63,55425,3,22,4095.0,17243.569034852546,0.001285722634562562,0.0003601440576230492,0.0009255785769395128,False
64,55426,196,311,12256.0,23897.42545600321,0.018175442697679855,0.023529411764705882,-0.005353969067026027,False
65,55427,58,88,10237.0,23407.817182250536,0.005142890538250248,0.006962785114045618,-0.0018198945757953704,False
66,55428,0,46,12563.0,16743.846271758015,0.002688329144994448,0.0,0.002688329144994448,False
67,55429,6,442,10585.0,14706.702366266682,0.025831336567120566,0.0007202881152460984,0.02511104845187447,False
68,55430,7,29,8484.0,14548.596475729959,0.0016948162001051955,0.0008403361344537816,0.0008544800656514139,False
69,55431,103,279,8181.0,21860.68315703824,0.016305300683770674,0.012364945978391356,0.0039403547053793175,False
70,55435,207,245,7212.0,25515.291752933063,0.01431827479399217,0.024849939975990398,-0.010531665181998228,True
71,55436,33,90,5983.0,57724.281549703155,0.005259774414119572,0.0039615846338535415,0.0012981897802660305,True
72,55437,46,132,8174.0,26048.61999542439,0.007714335807375372,0.005522208883553421,0.002192126923821951,True
73,55438,210,509,7640.0,34512.16973352206,0.029746946408742914,0.025210084033613446,0.004536862375129468,True
74,55439,2,4,3697.0,49773.897485714275,0.00023376775173864766,0.00024009603841536616,-6.328286676718494e-06,True
75,55441,57,118,7891.0,29133.527285970416,0.006896148676290106,0.006842737094837935,5.341158145217087e-05,True
76,55442,55,83,5728.0,35693.964969357636,0.004850680848576939,0.006602641056422569,-0.00175196020784563,True
77,55443,2,141,11463.0,23198.73646109297,0.00824031324878733,0.00024009603841536616,0.008000217210371963,False
78,55444,0,6,5380.0,21046.510563605032,0.0003506516276079715,0.0,0.0003506516276079715,False
79,55445,4,17,3667.0,21302.875493471,0.0009935129448892526,0.0004801920768307323,0.0005133208680585203,False
80,55446,24,107,7757.0,40215.19031826692,0.006253287359008825,0.0028811524609843936,0.0033721348980244314,True
81,55447,106,335,8780.0,33810.32458583093,0.01957804920811174,0.012725090036014406,0.006852959172097333,True
82,55454,46,62,3126.0,6005.620923076923,0.0036234001519490386,0.005522208883553421,-0.0018988087316043826,False
83,55455,0,3,4.0,0.0,0.00017532581380398575,0.0,0.00017532581380398575,False
